OBJECTID,Shape,nombre,id_ruta,codigo,recorrido,from_date,sistema,tipo,empresa,id_gflota,longitud,fecha_actualizacion,Shape_Length
95,"(4715972.684771313, 2255352.0013857665)",Florencia-estación Acevedo,90122,283i,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Integrada,Transporte Medellín Castilla,110752,9926.012492631255,2024-11-04 05:11:05,7633.868606472245
96,"(4711334.7575049875, 2250859.875655534)",Floresta,90322,243i,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Coonatra,112172,7113.7970572156555,2024-11-04 05:11:05,4259.1267904803935
97,"(4710982.767684626, 2250698.9709662823)",Floresta Directa,90323,243iD,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Coonatra,112182,5077.9980971496425,2024-11-04 05:11:05,3586.0389997196385
98,"(4713224.325043002, 2250164.636260366)",Floresta Estadio-Oriental,90317,240,Origen Destino_Destino Origen,2021-10-19 00:00:00,8A,Directa Centro,Conducciones América,112345,19771.777539959672,2024-11-04 05:11:05,18007.001809136913
99,"(4710634.766395819, 2250391.227296785)",Gabriela,90313,227i-B,Origen Destino_Destino Origen,2024-08-27 00:00:00,8A,Integrada,Metrosan,111972,3161.2500108630898,2024-11-04 05:11:05,2367.8306501050583
100,"(4717412.662475022, 2249130.3856224352)",Golondrinas,90247,105,Origen Destino_Destino Origen,2024-08-27 00:00:00,6F,Directa Centro,Cootransmallat,111606,11041.71663478285,2024-11-04 05:11:05,8085.567927096247
101,"(4717844.606852721, 2249452.3101490294)",Golondrinas horario especial,90250,105,Origen Destino_Destino Origen,2024-08-27 00:00:00,6F,Directa Centro,Cootransmallat,112925,7682.607996292291,2024-11-04 05:11:05,5058.27676381428
102,"(4717379.177411841, 2249150.2420790186)",Golondrinas horario nocturno,90251,105,Origen Destino_Destino Origen,2024-08-27 00:00:00,6F,Directa Centro,Cootransmallat,112935,10739.736363672535,2024-11-04 05:11:05,8164.03239496738
103,"(4717156.163846288, 2249684.989347779)",Golondrinas - Minorista,90249,105,Origen Destino_Destino Origen,2024-08-27 00:00:00,6F,Directa Centro,Cootransmallat,111616,11038.687637759565,2024-11-04 05:11:05,8033.911666312257
104,"(4716590.934269224, 2255485.999282781)",Gratamira-Estación Acevedo,90116,270i,Origen Destino_Destino Origen,2024-08-27 00:00:00,2B,Integrada,Transporte Medellín Castilla,110742,6388.161050512897,2024-11-04 05:11:05,5824.859667896626
